"filename", "language", "TXT", "XSL", "C++", "CSV", "Shell Script", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\AdminFlie.txt", "TXT", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Deep_copy\const_member.cpp", "C++", 0, 0, -27, 0, 0, -1, -1, -29
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Deep_copy\deep_copy.cpp", "C++", 0, 0, 0, 0, 0, -103, -6, -109
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Deep_copy\member_and_fun.cpp", "C++", 0, 0, 0, 0, 0, -65, -6, -71
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Deep_copy\static_Person.cpp", "C++", 0, 0, 0, 0, 0, -45, -2, -47
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\Boss.cpp", "C++", 0, 0, -15, 0, 0, 0, 0, -15
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\Boss.h", "C++", 0, 0, -12, 0, 0, 0, 0, -12
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\EmployeeManagementSystem.cpp", "C++", 0, 0, -52, 0, 0, -9, -3, -64
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\employee.cpp", "C++", 0, 0, -15, 0, 0, 0, 0, -15
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\employee.h", "C++", 0, 0, -12, 0, 0, 0, 0, -12
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\manager.cpp", "C++", 0, 0, -15, 0, 0, 0, 0, -15
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\manager.h", "C++", 0, 0, -12, 0, 0, 0, 0, -12
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\workManager.cpp", "C++", 0, 0, -536, 0, 0, -15, -8, -559
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\workManager.h", "C++", 0, 0, -32, 0, 0, 0, 0, -32
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\EmployeeManagementSystem\worker.h", "C++", 0, 0, -13, 0, 0, 0, 0, -13
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\FileOperating\FileOperating.cpp", "C++", 0, 0, -104, 0, 0, -41, -4, -149
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\FileOperating\regexTest.cpp", "C++", 0, 0, 0, 0, 0, -43, -3, -46
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_overloading\Function _overloading.cpp", "C++", 0, 0, 0, 0, 0, -75, -2, -77
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_overloading\functionPoint.cpp", "C++", 0, 0, -48, 0, 0, -7, -1, -56
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\bubble-sort.cpp", "C++", 0, 0, 0, 0, 0, -38, -1, -39
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\compare.cpp", "C++", 0, 0, -16, 0, 0, -2, 0, -18
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\cpsource.cpp", "C++", 0, 0, -6, 0, 0, 0, -2, -8
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\max.h", "C++", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\second.cpp", "C++", 0, 0, 0, 0, 0, -41, -1, -42
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Function_study\test.cpp", "C++", 0, 0, 0, 0, 0, -19, 0, -19
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Hanoi.cpp", "C++", 0, 0, -40, 0, 0, -1, 0, -41
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\NewFeature\Lambda.cpp", "C++", 0, 0, 0, 0, 0, -45, -3, -48
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\NewFeature\abnormal.cpp", "C++", 0, 0, 0, 0, 0, -24, -2, -26
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\NewFeature\auto.cpp", "C++", 0, 0, -47, 0, 0, -35, -1, -83
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\NewFeature\enumerate.cpp", "C++", 0, 0, 0, 0, 0, -48, -1, -49
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Operator overloading\AssignmentOperator_overload.cpp", "C++", 0, 0, -162, 0, 0, -3, -6, -171
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Operator overloading\IncreasingOperator_overloading.cpp", "C++", 0, 0, 0, 0, 0, -75, -4, -79
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Operator overloading\addOperator_overloading.cpp", "C++", 0, 0, 0, 0, 0, -49, 0, -49
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Operator overloading\leftOperrator_overloading.cpp", "C++", 0, 0, 0, 0, 0, -61, 0, -61
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\OrderFile.txt", "TXT", -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\Person.txt", "TXT", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomFile.txt", "TXT", -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\RoomReserveSys.cpp", "C++", 0, 0, -220, 0, 0, -17, -2, -239
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\administrator.cpp", "C++", 0, 0, -617, 0, 0, -16, -3, -636
